Task	Group	Mean_Score	SD	Max	Min	Success_Rate	N
T01	G1	5	0.0	5	5	1.0	1
T01	G2	5	0.0	5	5	1.0	1
T01	G3	5	0.0	5	5	1.0	1
T02	G1	10	0.0	10	10	1.0	1
T02	G2	10	0.0	10	10	1.0	1
T02	G3	10	0.0	10	10	1.0	1
T03	G1	12	0.0	12	12	1.0	1
T03	G2	12	0.0	12	12	1.0	1
T03	G3	12	0.0	12	12	1.0	1
T05	G1	10	0.0	10	10	1.0	1
T05	G2	10	0.0	10	10	1.0	1
T05	G3	10	0.0	10	10	1.0	1
T06	G1	10	0.0	10	10	1.0	1
T06	G2	10	0.0	10	10	1.0	1
T06	G3	10	0.0	10	10	1.0	1
T08	G1	10	0.0	10	10	1.0	1
T08	G2	10	0.0	10	10	1.0	1
T08	G3	10	0.0	10	10	1.0	1
T09	G1	8	0.0	8	8	1.0	1
T09	G2	8	0.0	8	8	1.0	1
T09	G3	8	0.0	8	8	1.0	1
T10	G1	10	0.0	10	10	1.0	1
T10	G2	10	0.0	10	10	1.0	1
T10	G3	10	0.0	10	10	1.0	1
